transaction_id,product_category,sub_category,brand_tier,customer_segment,customer_region,channel,day_of_week,season,payment_method,device_type,base_price,competitor_price,discount_pct,units_sold,marketing_spend,customer_rating,review_count,return_rate,inventory_days,page_views,shipping_cost,wishlist_adds,repeat_purchase,is_featured,flash_sale,revenue_usd
TXN-0000001,Electronics,Tablets,Mid-Range,Loyal,North America,Email,Friday,Winter,PayPal,Mobile,356.92,311.44,1.0,9,0.0,4.3,21.0,0.091,21,549.0,5.95,3.0,1,0,0,3193.57
TXN-0000002,Sports,Cycling,Premium,New,Asia Pacific,Organic Search,Monday,Spring,Credit Card,Desktop,177.26,173.97,1.0,13,248.26,4.8,43.0,0.145,10,650.0,13.97,2.0,0,0,0,2263.97
TXN-0000003,Food & Grocery,Organic,Premium,Returning,Asia Pacific,Paid Search,Thursday,Spring,Buy Now Pay Later,Mobile,46.95,55.97,1.4,1,,4.4,21.0,,27,482.0,21.82,2.0,0,0,0,67.43
TXN-0000004,Automotive,Electronics,Mid-Range,Churned,South Asia,Marketplace,Saturday,Fall,Debit Card,Mobile,147.19,130.33,2.8,6,0.0,3.2,34.0,0.166,5,318.0,14.0,1.0,0,0,0,855.68
TXN-0000005,Fashion,Men Clothing,Premium,VIP,Europe,Direct,Wednesday,Summer,Credit Card,Tablet,186.96,217.14,0.0,6,,4.5,0.0,0.006,48,181.0,14.77,3.0,1,0,1,1579.98
TXN-0000006,Electronics,Cameras,Mid-Range,New,Europe,Direct,Tuesday,Fall,Buy Now Pay Later,Mobile,132.9,,7.2,1,0.0,3.2,0.0,0.004,27,33.0,13.18,1.0,0,0,0,148.44
TXN-0000007,Jewelry,Bracelets,Budget,Loyal,North America,Direct,Friday,Summer,Debit Card,Desktop,295.43,257.13,0.0,3,0.0,3.5,17.0,0.177,89,467.0,8.16,,1,1,1,1639.96
TXN-0000008,Electronics,Headphones,Mid-Range,VIP,Europe,Organic Search,Monday,Winter,PayPal,Desktop,200.77,215.19,36.5,14,0.0,4.4,0.0,0.109,13,223.0,9.41,1.0,1,1,0,1821.29
TXN-0000009,Jewelry,Earrings,Premium,New,Europe,Affiliate,Saturday,Summer,PayPal,Tablet,805.49,781.78,7.3,5,0.0,3.7,0.0,0.085,60,,5.55,3.0,0,0,0,3732.32
TXN-0000010,Beauty,Personal Care,Mid-Range,Returning,North America,Social Media,Tuesday,Spring,Credit Card,Mobile,48.17,36.99,16.1,2,0.0,3.6,29.0,0.019,5,509.0,9.18,5.0,0,1,0,102.5
TXN-0000011,Automotive,Car Care,Mid-Range,New,North America,Social Media,Friday,Spring,PayPal,Desktop,82.72,94.45,0.0,8,0.0,4.6,11.0,0.132,14,,5.57,0.0,0,0,0,673.02
TXN-0000012,Books,Children,Budget,New,Europe,Affiliate,Sunday,Summer,Credit Card,Desktop,8.95,20.17,27.4,13,213.51,4.5,2.0,0.074,52,42.0,10.54,2.0,0,0,0,73.09
TXN-0000013,Fashion,Accessories,Premium,New,North America,Social Media,Friday,Spring,Buy Now Pay Later,Tablet,149.7,163.13,61.0,6,667.52,3.8,100.0,0.071,12,931.0,5.83,6.0,0,1,0,445.44
TXN-0000014,Home & Garden,Furniture,Budget,Returning,North America,Direct,Wednesday,Winter,PayPal,Desktop,47.7,51.59,0.0,10,0.0,4.5,28.0,0.228,18,399.0,10.45,3.0,0,0,0,465.12
TXN-0000015,Automotive,Electronics,Premium,Returning,Middle East,Direct,Thursday,Fall,Credit Card,Desktop,309.21,386.42,0.0,3,0.0,4.3,0.0,0.151,70,216.0,15.73,1.0,0,1,0,935.15
TXN-0000016,Beauty,Skincare,Mid-Range,VIP,Asia Pacific,Organic Search,Saturday,Fall,Crypto,Mobile,85.95,83.44,0.0,9,0.0,4.4,20.0,0.029,32,448.0,17.97,3.0,1,0,1,971.15
TXN-0000017,Home & Garden,Decor,Luxury,VIP,North America,Paid Search,Wednesday,Spring,Credit Card,Mobile,886.06,,6.0,7,,3.5,,0.145,30,86.0,6.6,3.0,1,0,0,5827.1
TXN-0000018,Toys,Action Figures,Mid-Range,Loyal,Asia Pacific,Organic Search,Saturday,Summer,Bank Transfer,Mobile,41.56,34.92,8.1,6,0.0,4.2,22.0,0.014,13,258.0,10.66,3.0,1,0,0,240.89
TXN-0000019,Fashion,Bags,Mid-Range,Returning,Middle East,Email,Sunday,Winter,Debit Card,Tablet,82.83,97.16,2.0,12,0.0,,0.0,0.075,20,257.0,21.16,3.0,0,1,0,952.49
TXN-0000020,Home & Garden,Storage,Mid-Range,Loyal,Africa,Social Media,Monday,Fall,Credit Card,Mobile,96.26,,0.0,4,296.39,3.8,16.0,0.031,30,151.0,19.08,2.0,1,0,0,416.17
TXN-0000021,Books,Non-Fiction,Budget,Loyal,Middle East,Direct,Thursday,Winter,PayPal,Tablet,9.23,11.39,1.0,1,0.0,2.5,37.0,0.186,24,332.0,17.23,0.0,1,0,0,37.36
TXN-0000022,Toys,Educational,Budget,Loyal,Europe,Organic Search,Friday,Spring,Buy Now Pay Later,Mobile,15.79,15.82,16.1,10,0.0,3.5,50.0,0.025,34,523.0,8.62,1.0,1,0,0,172.62
TXN-0000023,Sports,Yoga,Budget,Returning,North America,Marketplace,Sunday,Spring,Buy Now Pay Later,Desktop,28.09,,0.0,8,0.0,3.0,0.0,0.174,3,80.0,7.7,1.0,0,0,0,221.35
TXN-0000024,Electronics,Gaming,Budget,Returning,Middle East,Organic Search,Sunday,Winter,Credit Card,Mobile,134.88,120.39,2.2,2,0.0,3.8,8.0,0.11,17,110.0,18.86,3.0,0,0,0,273.81
TXN-0000025,Jewelry,Watches,Mid-Range,Returning,North America,Paid Search,Monday,Spring,Credit Card,Mobile,447.1,542.62,0.0,9,1039.65,,9.0,0.03,60,308.0,9.83,4.0,0,0,0,4095.33
TXN-0000026,Books,Children,Mid-Range,Returning,Asia Pacific,Organic Search,Monday,Summer,Debit Card,Mobile,18.22,,7.5,6,114.79,4.2,7.0,0.13,45,154.0,8.06,0.0,0,0,0,106.0
