age,gender,education_level,city,company,job_role,industry_sector,employment_type,years_experience,annual_ctc,monthly_expenses,savings_balance,investments,loan_outstanding,emi_monthly,debt_to_income_ratio,credit_score,num_credit_cards,projects_completed,certifications,training_hours_yr,team_size_managed,remote_work_pct,overtime_hours_month,performance_score,promotion_eligible
30,Female,Bachelor,Raipur,Nagarro India,Backend Developer,HealthTech,Hybrid,9,776300,35438,120623.0,7947.0,0.0,0,0.0,521,1,15,2,4.0,3.0,75,3,3.33,0
54,Male,PhD,Kochi,Cognizant,Lead Engineer,Telecom,Full-time,34,2258818,75802,179558.0,6723.0,193770.0,3875,0.0206,721,4,65,1,118.0,3.0,50,20,4.87,1
22,Female,Bachelor,Bhopal,Tech Mahindra,Backend Developer,HealthTech,Remote,0,459629,18982,122158.0,10950.0,0.0,0,0.0,440,3,0,3,112.0,0.0,100,38,2.46,0
49,Female,Bachelor,Solapur,Genpact,BI Developer,Telecom,Full-time,26,1728250,40610,30507.0,12740.0,360136.0,7202,0.05,680,1,54,1,72.0,20.0,50,15,4.19,1
23,Male,Bachelor,Mysuru,BrowserStack,Scrum Master,Telecom,Hybrid,0,336643,11611,196351.0,36114.0,0.0,0,0.0,489,0,4,1,73.0,0.0,0,12,2.51,0
57,Female,Bachelor,Malegaon,eClerx,VP Engineering,Startup,Full-time,35,2319027,60802,94329.0,92629.0,1143555.0,22871,0.1183,736,3,75,2,68.0,11.0,25,21,5.0,1
32,Male,Diploma,Delhi,NIIT Technologies,Software Engineer,Banking,Hybrid,9,744917,20813,468804.0,30217.0,1715169.0,34303,0.5526,634,2,21,1,14.0,9.0,100,3,3.22,0
24,Female,Bachelor,Solapur,L&T Infotech,QA Engineer,Defense,Full-time,0,283504,7071,96890.0,52649.0,1946705.0,38934,1.648,574,2,5,2,77.0,0.0,100,6,1.12,0
54,Male,Master,Jodhpur,Tech Mahindra,Data Analyst,FinTech,Remote,31,2099152,57349,37375.0,38504.0,539658.0,10793,0.0617,689,2,61,2,4.0,24.0,50,31,4.8,1
52,Female,Master,Saharanpur,Kellton Tech,Project Manager,E-commerce,Full-time,32,2110974,60410,1194837.0,,1071437.0,21428,0.1218,839,0,68,0,32.0,15.0,0,17,5.0,1
